"id","name","create_time"
"1001","AHU21级计科","2023-12-20 15:06:07"
"1638089590690","软件工程","2023-12-08 15:06:07"
"1638089590691","土木工程","2023-12-08 15:06:07"
"1638089590692","机械工程","2023-12-08 15:06:07"
"1638089590693","电子工程","2023-12-08 15:06:07"
"1638089590694","化学工程","2023-12-08 15:06:07"
"1638089590695","生物工程","2023-12-08 15:06:07"
"1638089590696","环境工程","2023-12-08 15:06:07"
"1638089590697","材料工程","2023-12-08 15:06:07"
"1638089590698","航空工程","2023-12-08 15:06:07"
"1638089590699","电气工程","2023-12-08 15:06:07"
"1638089590700","通信工程","2023-12-08 15:06:07"
"1638089590701","计算机科学","2023-12-08 15:06:07"
"1638089590702","信息技术","2023-12-08 15:06:07"
"1638089590703","数学与计算","2023-12-08 15:06:07"
"1638089590704","物理学","2023-12-08 15:06:07"
"1638089590705","化学","2023-12-08 15:06:07"
"1638089590706","生物学","2023-12-08 15:06:07"
"1638089590707","环境科学","2023-12-08 15:06:07"
"1638089590708","地球科学","2023-12-08 15:06:07"
"1638089590709","心理学","2023-12-08 15:06:07"
"1638089590710","社会学","2023-12-08 15:06:07"
"1638089590711","经济学","2023-12-08 15:06:07"
"1638089590712","管理学","2023-12-08 15:06:07"
"1638089590713","法学","2023-12-08 15:06:07"
"1638089590714","教育学","2023-12-08 15:06:07"
"1638089590715","医学","2023-12-08 15:06:07"
"1638089590716","护理学","2023-12-08 15:06:07"
"1638089590717","艺术学","2023-12-08 15:06:07"
"1638089590718","设计学","2023-12-08 15:06:07"
"1638089590719","音乐学","2023-12-08 15:06:07"
"1638089590720","体育学","2023-12-08 15:06:07"
